Rank,Player,School,Position,NIL_Valuation,Whisper_Valuation,recruiting_rating,recruiting_stars,recruiting_rank,source
1,Arch Manning,Texas,QB,5400000,2000000,0.9995,5.0,1.0,cfbd_2023
2,Jeremiah Smith,Ohio State,WR,4200000,5000000,0.9997,5.0,1.0,cfbd_2024
3,Sam Leavitt,LSU,QB,4000000,4500000,0.9026,4.0,311.0,cfbd_2023
4,Brendan Sorsby,Texas Tech,QB,3100000,5000000,0.8596,3.0,1012.0,cfbd_2022
5,Dante Moore,Texas,QB,3000000,5000000,0.998,5.0,4.0,cfbd_2023
6,Bryce Underwood,Michigan,QB,3000000,3000000,0.9998,5.0,1.0,cfbd_2025
7,Cam Coleman,Auburn,WR,2900000,3000000,0.9985,5.0,3.0,cfbd_2024
8,LaNorris Sellers,South Carolina,QB,2700000,2000000,0.9127,4.0,256.0,cfbd_2023
9,Dylan Stewart,South Carolina,EDGE,2500000,2000000,0.9939,5.0,15.0,cfbd_2024
10,Drew Mestemaker,Oklahoma State,QB,2400000,3500000,,,,not_found
11,Mason Heintschel,Pittsburgh,QB,2400000,3000000,0.8772,3.0,715.0,cfbd_2025
12,Julian Sayin,Ohio State,QB,2400000,2500000,0.9966,5.0,6.0,cfbd_2024
13,John Mateer,Washington State,QB,2300000,1500000,0.8267,3.0,1766.0,cfbd_2022
14,Darian Mensah,Miami,QB,2200000,4000000,0.7933,2.0,2289.0,cfbd_2023
15,Josh Hoover,TCU,QB,2200000,1800000,0.873,3.0,709.0,cfbd_2022
16,Jaron-Keawe Sagapolutele,Oregon,QB,2000000,4500000,0.9662,4.0,67.0,cfbd_2025
17,CJ Bailey,NC State,QB,1900000,2000000,0.8933,4.0,432.0,cfbd_2024
18,Malik Washington,Maryland,QB,1900000,1000000,0.9503,4.0,99.0,cfbd_2025
19,David Stone,Oklahoma,DL,1900000,0,0.9952,5.0,9.0,cfbd_2024
20,Jackson Cantwell,Missouri,OT,1800000,2500000,,,,not_found
21,DJ Lagway,Florida,QB,1800000,2000000,0.9964,5.0,7.0,cfbd_2024
22,Sawyer Robertson,Baylor,QB,1700000,1200000,0.9392,4.0,134.0,cfbd_2021
23,Jordan Seaton,Colorado,OT,1700000,4000000,0.9934,5.0,17.0,cfbd_2024
24,Jared Curtis,Vanderbilt,QB,1700000,2000000,,,,not_found
25,Ryan Coleman-Williams,Alabama,WR,1600000,1800000,,,,not_found
26,Trinidad Chambliss,Memphis,QB,1600000,5000000,,,,not_found
27,Byrum Brown,USF,QB,1600000,3000000,0.853,3.0,1178.0,cfbd_2022
28,Colin Simmons,Texas,EDGE,1500000,2500000,0.9932,5.0,18.0,cfbd_2024
29,CJ Carr,Notre Dame,QB,1500000,3000000,0.9685,4.0,68.0,cfbd_2024
30,Conner Weigman,Texas A&M,QB,1500000,1000000,0.9899,5.0,22.0,cfbd_2022
31,Evan Stewart,Oregon,WR,1500000,0,0.994,5.0,11.0,cfbd_2022
32,Cutter Boley,Kentucky,QB,1400000,0,0.9014,4.0,344.0,cfbd_2024
33,Noah Fifita,Arizona,QB,1400000,0,0.8737,3.0,690.0,cfbd_2022
