Full_Name,position,year,total_social,recruiting_rating,depth_role,role_mult,base_nil,predicted_nil,predicted_nil_fmt
Tommy Castellanos,QB,4,107000,0.8815,starter,1.45,1964400.0,2000000.0,"$2,000,000"
Brock Glenn,QB,2,9000,0.8878,backup,1.15,1857700.0,2000000.0,"$2,000,000"
Michael Grant,QB,2,9000,0.82,depth,1.0,1965600.0,1965600.0,"$1,965,600"
Kevin Sperry,QB,1,5000,0.78,depth,1.0,1964900.0,1964900.0,"$1,964,900"
Gavin Markey,QB,1,5000,0.78,depth,1.0,1964900.0,1964900.0,"$1,964,900"
Jaylen King,QB,3,2285,0.84,depth,1.0,1958600.0,1958600.0,"$1,958,600"
Duce Robinson,WR,3,95000,0.95,starter,1.45,483100.0,1200000.0,"$1,200,000"
Jayvan Boggs,WR,1,4500,0.78,starter,1.45,1014800.0,1200000.0,"$1,200,000"
Mandrell Desir,DL,1,8200,0.78,depth,1.0,1103800.0,1103800.0,"$1,103,800"
Willy Suarez,WR,1,4500,0.78,depth,1.0,1014800.0,1014800.0,"$1,014,800"
Tae'Shaun Gelsey,WR,1,4500,0.78,depth,1.0,1014800.0,1014800.0,"$1,014,800"
Teriq Mallory,WR,1,4500,0.78,depth,1.0,1014800.0,1014800.0,"$1,014,800"
Squirrel White,WR,4,30700,0.9,starter,1.45,630300.0,913900.0,"$913,900"
James Williams,DL,3,10000,0.92,starter,1.45,597200.0,800000.0,"$800,000"
Darryll Desir,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Justin Cryer,DL,3,10000,0.8639,starter,1.45,711100.0,800000.0,"$800,000"
Kevin Wynn,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Grant Fielder,DL,2,6000,0.82,depth,1.0,818700.0,800000.0,"$800,000"
Deante McCray,DL,3,10000,0.87,backup,1.15,716700.0,800000.0,"$800,000"
Brandon Torres,DL,2,6000,0.82,depth,1.0,818700.0,800000.0,"$800,000"
Ashton Bracewell,DL,2,6000,0.82,depth,1.0,818700.0,800000.0,"$800,000"
Jaden Jones,DL,4,14000,0.8367,backup,1.15,711100.0,800000.0,"$800,000"
Tylon Lee,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Tyeland Coleman,DL,3,10000,0.82,depth,1.0,818700.0,800000.0,"$800,000"
AJ Cottrill,DL,3,10000,0.82,backup,1.15,818700.0,800000.0,"$800,000"
Elijah Herring,DL,4,14000,0.86,starter,1.45,711100.0,800000.0,"$800,000"
Ethan Pritchard,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Stefon Thompson,DL,4,14000,0.86,backup,1.15,711100.0,800000.0,"$800,000"
Gav Holman,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Darrell Jackson Jr.,DL,4,14000,0.8685,starter,1.45,716700.0,800000.0,"$800,000"
Jayson Jenkins,DL,3,10000,0.91,starter,1.45,714600.0,800000.0,"$800,000"
Jesse Harrold,DL,1,3500,0.78,depth,1.0,1103800.0,800000.0,"$800,000"
Gunnar Hansen,OL,4,10000,0.86,starter,1.45,594400.0,732000.0,"$732,000"
Jayden Parrish,DL,1,3500,0.8778,depth,1.0,716700.0,716700.0,"$716,700"
Jamorie Flagg,DL,1,3500,0.8686,depth,1.0,716700.0,716700.0,"$716,700"
Deamontae Diggs,DL,4,14000,0.9,depth,1.0,714600.0,714600.0,"$714,600"
Caleb LaVallee,DL,2,6000,0.84,depth,1.0,711100.0,711100.0,"$711,100"
Peyton Naylor,OL,2,4500,0.82,depth,1.0,718600.0,700000.0,"$700,000"
Alex Nocco,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Sean Poret,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Shamar Arnoux,DB,1,3000,0.865,starter,1.45,595700.0,700000.0,"$700,000"
Max Redmon,DB,1,3000,0.78,depth,1.0,1020100.0,700000.0,"$700,000"
Ethan Post,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Chavez Thompson,OL,1,2500,0.78,backup,1.15,1024300.0,700000.0,"$700,000"
Mario Nash Jr.,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Brunno Reus,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Ashlynd Barker,DB,3,9000,0.9,starter,1.45,593600.0,700000.0,"$700,000"
Jayden Todd,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Antonio Cromartie Jr.,DB,1,3000,0.78,depth,1.0,1020100.0,700000.0,"$700,000"
Donny Hiebert,DB,3,9000,0.82,backup,1.15,714300.0,700000.0,"$700,000"
Chastan Brown,OL,1,2500,0.78,depth,1.0,1024300.0,700000.0,"$700,000"
Zae Thomas,DB,1,3000,0.78,depth,1.0,1020100.0,700000.0,"$700,000"
Richie Leonard IV,OL,4,10000,0.867,starter,1.45,600000.0,700000.0,"$700,000"
Jeremiah Wilson,DB,4,12000,0.8533,starter,1.45,590100.0,700000.0,"$700,000"
Edwin Joseph,DB,2,5500,0.9003,starter,1.45,593600.0,700000.0,"$700,000"
Micah Pettus,OL,4,10000,0.91,starter,1.45,597900.0,700000.0,"$700,000"
Mason Arnold,OL,4,10000,0.82,depth,1.0,718600.0,700000.0,"$700,000"
Mac Chiumento,OL,3,7500,0.82,depth,1.0,718600.0,700000.0,"$700,000"
Christian White,DB,3,9000,0.82,depth,1.0,714300.0,700000.0,"$700,000"
Jacob Rizy,OL,4,10000,0.82,backup,1.15,718600.0,700000.0,"$700,000"
Adrian Medley,OL,4,10000,0.88,starter,1.45,600000.0,700000.0,"$700,000"
Quindarrius Jones,DB,3,9000,0.8694,backup,1.15,595700.0,685100.0,"$685,100"
Andre Otto,OL,2,4500,0.86,backup,1.15,594400.0,683600.0,"$683,600"
K.J. Kirkland,DB,2,5500,0.8853,backup,1.15,593600.0,682600.0,"$682,600"
Shyheim Brown,DB,4,12000,0.8574,backup,1.15,590100.0,678600.0,"$678,600"
Daniel Lyons,DL,3,10000,0.8859,backup,1.15,714600.0,670000.0,"$670,000"
Blake Nichelson,DL,3,10000,0.9292,backup,1.15,575800.0,662200.0,"$662,200"
KJ Sampson,DL,2,6000,0.9143,depth,1.0,659000.0,659000.0,"$659,000"
Earl Little Jr.,DB,3,42800,0.9552,starter,1.45,453500.0,657600.0,"$657,600"
BJ Gibson,WR,2,8000,0.895,depth,1.0,630300.0,630300.0,"$630,300"
Camdon Frier,WR,1,4500,0.89,depth,1.0,630300.0,630300.0,"$630,300"
Tye Hylton,OL,1,2500,0.8769,depth,1.0,600000.0,600000.0,"$600,000"
Bryson Estes,OL,4,10000,0.8759,depth,1.0,600000.0,600000.0,"$600,000"
Zay Parks,RB,1,4000,0.78,depth,1.0,883500.0,600000.0,"$600,000"
Jake Weinberg,OL,1,2500,0.8236,depth,1.0,598300.0,598300.0,"$598,300"
Manasse Itete,OL,1,2500,0.8985,depth,1.0,597900.0,597900.0,"$597,900"
Ja'Bril Rawls,DB,2,5500,0.8764,depth,1.0,595700.0,595700.0,"$595,700"
Josh Raymond,OL,1,2500,0.85,depth,1.0,594400.0,594400.0,"$594,400"
Ja'Elyne Matthews,OL,1,2500,0.86,depth,1.0,594400.0,594400.0,"$594,400"
Ricky Knight III,DB,1,3000,0.9,depth,1.0,593600.0,593600.0,"$593,600"
Luke Petitbon,OL,4,10000,0.92,starter,1.45,482000.0,578000.0,"$578,000"
Micahi Danzy,WR,1,4500,0.9149,depth,1.0,569100.0,569100.0,"$569,100"
Jonathan Daniels,OL,1,2500,0.9239,backup,1.15,474900.0,546100.0,"$546,100"
Roydell Williams,RB,4,20500,0.965,starter,1.45,372300.0,539800.0,"$539,800"
Lucas Simmons,OL,2,4500,0.9429,backup,1.15,462200.0,531500.0,"$531,500"
Elijah Moore,WR,1,4500,0.9285,depth,1.0,500200.0,500200.0,"$500,200"
Lawayne McCoy,WR,2,8000,0.9268,depth,1.0,500200.0,500200.0,"$500,200"
Chase Loftin,TE,1,3000,0.78,backup,1.15,1036400.0,500000.0,"$500,000"
Randy Pittman Jr.,TE,3,8000,0.85,starter,1.45,622900.0,500000.0,"$500,000"
Markeston Douglas,TE,4,4675,0.86,depth,1.0,622900.0,500000.0,"$500,000"
Landen Thomas,TE,2,5000,0.951,backup,1.15,477700.0,500000.0,"$500,000"
