Player,School,Position,recruiting_rating,recruiting_stars,recruiting_rank,source,match_found
Richie Leonard IV,Florida State,OL,0.867,3.0,765.0,cfbd_2020,True
Caziah Holmes,Florida State,RB,0.9232,4.0,192.0,cfbd_2020,True
Luke Petitbon,Florida State,OL,0.92,4.0,,transfer_portal,True
Gavin Blackwell,Florida State,WR,0.85,3.0,,transfer_portal,True
Adrian Medley,Florida State,OL,0.88,3.0,,transfer_portal,True
Micah Pettus,Florida State,OL,0.91,4.0,,transfer_portal,True
Bryson Estes,Florida State,OL,0.8759,3.0,571.0,cfbd_2021,True
Markeston Douglas,Florida State,TE,0.86,3.0,,transfer_portal,True
Darrell Jackson Jr.,Florida State,DL,0.8685,3.0,707.0,cfbd_2021,True
Stefon Thompson,Florida State,LB,0.86,3.0,,transfer_portal,True
Earl Little Jr.,Florida State,DB,0.9552,4.0,106.0,cfbd_2022,True
Daniel Lyons,Florida State,DL,0.8859,3.0,464.0,cfbd_2022,True
Gavin Sawchuk,Florida State,RB,0.87,3.0,,transfer_portal,True
Roydell Williams,Florida State,RB,0.965,4.0,77.0,cfbd_2020,True
Gunnar Hansen,Florida State,OL,0.86,3.0,,transfer_portal,True
Deamontae Diggs,Florida State,DL,0.9,4.0,,transfer_portal,True
Jacob Rizy,Florida State,OL,0.82,3.0,,manual,True
Elijah Herring,Florida State,LB,0.86,3.0,,transfer_portal,True
Shyheim Brown,Florida State,DB,0.8574,3.0,992.0,cfbd_2021,True
Tommy Castellanos,Florida State,QB,0.8815,3.0,545.0,cfbd_2022,True
Omar Graham Jr.,Florida State,LB,,3.0,,transfer_portal,True
Jeremiah Wilson,Florida State,DB,0.8533,3.0,1161.0,cfbd_2022,True
AJ Cottrill,Florida State,LB,,,,not_found,False
Deante McCray,Florida State,DL,0.87,3.0,,transfer_portal,True
Conrad Hussey,Florida State,DB,0.9252,4.0,193.0,cfbd_2023,True
Edwin Joseph,Florida State,DB,0.9003,4.0,329.0,cfbd_2023,True
Duce Robinson,Florida State,WR,0.95,4.0,,transfer_portal,True
