Player,recruiting_stars,recruiting_rating
Jackson Cantwell, 5.0,0.9993
Jake Hildebrand, 4.0, 0.9200
Drew Mestemaker, 4.0, 0.9688
Jayden Harris, 3.0, 0.8550
Jared Curtis, 5.0, 0.9970
Ryan Coleman-Williams, 5.0, 0.9800
Trinidad Chambliss, 3.0, 0.8400
Treydez Green, 4.0, 0.9100
Terrance Carter, 4.0, 0.9131
Naeem Offord, 5.0, .9824
Dijon Lee, 5.0, .9784
Monshun Sales, 5.0, .9832
Donald Tabron, 4.0, .9354
Alber Simien, 5.0, .9653
Kennedy Brown, 5.0, .9613
Jaiden Bryant, 5.0, .9620
Xavier Sabb, 5.0, .9596
Boobie Feaster, 4.0, .9631
Kaden Henderston, 5.0, .9613
Ian Premer, 5.0, .9720
Tradon Bessinger, 4.0, .9289
Anthony Sweeney, 5.0, .9682
Eugene Wilson, 4.0, .9407
Johntay Cook, 5.0, .9723
Ollie Gordon, 4.0, .9144
RJ Harvey, 3.0, .8180
Bhayshul tuten, 3.0, .9058
DJ Goodens, 4.0, .9500
Andre Otto, 3.0, .8600


