Player,School,Position,recruiting_rating,recruiting_stars,recruiting_rank,source,match_found
Richie Leonard IV,Florida State,OL,0.9997,5.0,1.0,cfbd_2024,True
Caziah Holmes,Florida State,RB,0.9997,5.0,1.0,cfbd_2024,True
Luke Petitbon,Florida State,OL,0.92,4.0,,transfer_portal,True
Gavin Blackwell,Florida State,WR,0.85,3.0,,transfer_portal,True
Adrian Medley,Florida State,OL,0.88,3.0,,transfer_portal,True
Micah Pettus,Florida State,OL,0.91,4.0,,transfer_portal,True
Bryson Estes,Florida State,OL,0.9997,5.0,1.0,cfbd_2024,True
Markeston Douglas,Florida State,TE,0.86,3.0,,transfer_portal,True
Darrell Jackson Jr.,Florida State,DL,0.9997,5.0,1.0,cfbd_2024,True
Stefon Thompson,Florida State,LB,0.86,3.0,,transfer_portal,True
Earl Little Jr.,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Daniel Lyons,Florida State,DL,0.9997,5.0,1.0,cfbd_2024,True
Gavin Sawchuk,Florida State,RB,0.87,3.0,,transfer_portal,True
Roydell Williams,Florida State,RB,0.9997,5.0,1.0,cfbd_2024,True
Gunnar Hansen,Florida State,OL,0.86,3.0,,transfer_portal,True
Deamontae Diggs,Florida State,DL,0.9,4.0,,transfer_portal,True
Jacob Rizy,Florida State,OL,0.9997,5.0,1.0,cfbd_2024,True
Elijah Herring,Florida State,LB,0.86,3.0,,transfer_portal,True
Shyheim Brown,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Tommy Castellanos,Florida State,QB,0.9997,5.0,1.0,cfbd_2024,True
Omar Graham Jr.,Florida State,LB,,3.0,,transfer_portal,True
Jeremiah Wilson,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
AJ Cottrill,Florida State,LB,0.9997,5.0,1.0,cfbd_2024,True
Deante McCray,Florida State,DL,0.87,3.0,,transfer_portal,True
Conrad Hussey,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Edwin Joseph,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Duce Robinson,Florida State,WR,0.95,4.0,,transfer_portal,True
Lucas Simmons,Florida State,OL,0.9997,5.0,1.0,cfbd_2024,True
Randy Pittman Jr.,Florida State,TE,0.85,3.0,,transfer_portal,True
Samuel Singleton Jr.,Florida State,RB,0.9997,5.0,1.0,cfbd_2024,True
KJ Sampson,Florida State,DL,0.9997,5.0,1.0,cfbd_2024,True
Jaylin Lucas,Florida State,RB,0.9997,5.0,1.0,cfbd_2024,True
K.J. Kirkland,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Blake Nichelson,Florida State,LB,0.9997,5.0,1.0,cfbd_2024,True
Mason Arnold,Florida State,LS,0.9997,5.0,1.0,cfbd_2024,True
Justin Cryer,Florida State,LB,0.9997,5.0,1.0,cfbd_2024,True
Brock Glenn,Florida State,QB,0.9997,5.0,1.0,cfbd_2024,True
Caleb LaVallee,Florida State,LB,0.84,3.0,,transfer_portal,True
Quindarrius Jones,Florida State,DB,0.9997,5.0,1.0,cfbd_2024,True
Jonathan Daniels,Florida State,OL,0.9239,4.0,188.0,cfbd_2024,True
Kam Davis,Florida State,RB,0.9523,4.0,98.0,cfbd_2024,True
Jamorie Flagg,Florida State,DL,0.8686,3.0,954.0,cfbd_2024,True
Camdon Frier,Florida State,WR,0.89,3.0,479.0,cfbd_2024,True
BJ Gibson,Florida State,WR,0.895,4.0,407.0,cfbd_2024,True
Jamari Howard,Florida State,DB,0.9495,4.0,110.0,cfbd_2024,True
Elijah Moore,Florida State,WR,0.9285,4.0,172.0,cfbd_2024,True
