id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds,Player,recruiting_rating,recruiting_stars,recruiting_rank,source
4432738,Micah,Morris,Georgia,330,76,56,4,OL,Kingsland,GA,USA,30.7999563,-81.6898261,13039.0,['115808'],Micah Morris,0.9698,4.0,67.0,cfbd_2021
4682640,Josh,McCray,Georgia,235,73,2,4,RB,Enterprise,AL,USA,31.3151708,-85.8552161,1031.0,['117079'],Josh McCray,0.89,3.0,,transfer_portal
4685282,Zion,Branch,Georgia,210,74,2,3,S,Las Vegas,NV,USA,36.1672559,-115.1485163,32003.0,[],Zion Branch,0.87,3.0,,transfer_portal
4685327,Daylen,Everette,Georgia,190,73,6,4,DB,Norfolk,VA,USA,36.8462923,-76.2929252,51710.0,['113571'],Daylen Everette,0.9874,5.0,28.0,cfbd_2022
4685360,Earnest,Greene III,Georgia,320,76,71,3,OL,Los Angeles,CA,USA,34.0536909,-118.2427666,6037.0,['113588'],Earnest Greene III,,,,not_found
4685479,Christen,Miller,Georgia,305,76,52,3,DL,Ellenwood,GA,USA,33.6101096,-84.287978,13063.0,[],Christen Miller,0.956,4.0,103.0,cfbd_2022
4685578,Gunner,Stockton,Georgia,215,73,14,3,QB,Tiger,GA,USA,34.8470372,-83.4329399,13241.0,['113667'],Gunner Stockton,0.9506,4.0,124.0,cfbd_2022
4696723,Beau,Gardner,Georgia,250,77,60,4,LS,San Francisco,CA,USA,37.7790262,-122.4199061,6075.0,['121276'],Beau Gardner,0.8,3.0,2819.0,cfbd_2020
4699065,Kavon,Townsend,Georgia,215,73,35,4,WR,Conroe,TX,USA,30.3118769,-95.4560512,48339.0,[],Kavon Townsend,,,,not_found
4702559,Oscar,Delp,Georgia,245,77,4,4,TE,Cumming,GA,USA,34.2073196,-84.1401926,13117.0,['113643'],Oscar Delp,0.9577,4.0,100.0,cfbd_2022
4702581,JaCorey,Thomas,Georgia,205,72,20,4,DB,Orlando,FL,USA,28.5421109,-81.3790304,12095.0,[],JaCorey Thomas,0.9,4.0,311.0,cfbd_2022
4712579,Dillon,Bell,Georgia,210,73,86,4,WR,Houston,TX,USA,29.7589382,-95.3676974,48201.0,['113997'],Dillon Bell,0.887,3.0,452.0,cfbd_2022
4718457,Noah,Thomas,Georgia,205,77,5,4,WR,League City,TX,USA,29.5074538,-95.0949303,48167.0,[],Noah Thomas,0.93,4.0,,transfer_portal
4799994,Brett,Thorson,Georgia,235,74,92,4,P,Melbourne,VIC,Australia,,,,['115247'],Brett Thorson,0.8293,3.0,1733.0,cfbd_2022
4838555,Miles,Thornton,Georgia,200,72,39,3,WR,Tyrone,GA,USA,33.4713249,-84.5972005,13113.0,[],Miles Thornton,,,,not_found
4838684,Patrick,Hester,Georgia,260,77,44,3,TE,Johns Creek,GA,USA,34.0181557,-84.190196,13121.0,[],Patrick Hester,,,,not_found
4870588,Joenel,Aguero,Georgia,205,71,8,3,DB,Lynn,MA,USA,42.466763,-70.9494939,25009.0,['111283'],Joenel Aguero,0.982,4.0,37.0,cfbd_2023
4870598,CJ,Allen,Georgia,235,73,3,3,LB,Barnesville,GA,USA,33.0545709,-84.1557496,13171.0,['111316'],CJ Allen,0.8256,3.0,2165.0,cfbd_2024
4870612,Zachariah,Branch,Georgia,180,70,1,3,WR,Las Vegas,NV,USA,36.1672559,-115.1485163,32003.0,['113601'],Zachariah Branch,0.95,4.0,,transfer_portal
4870694,Monroe,Freeling,Georgia,315,79,57,3,OL,Isle Of Palms,SC,USA,,,,['111281'],Monroe Freeling,0.9822,4.0,35.0,cfbd_2023
4870716,Gabe,Harris Jr.,Georgia,260,76,0,3,LB,Thomasville,GA,USA,30.8365815,-83.9787808,13275.0,['111311'],Gabe Harris Jr.,,,,not_found
4870749,Bo,Hughley,Georgia,295,79,55,2,OL,Fairburn,GA,USA,33.5670562,-84.5810418,13121.0,['111361'],Bo Hughley,0.9457,4.0,115.0,cfbd_2023
