Full_Name,position,year,total_social,recruiting_rating,depth_role,role_mult,base_nil,predicted_nil,predicted_nil_fmt
Gunner Stockton,QB,3,18000,0.9506,starter,1.45,1568800.0,2274800.0,"$2,274,800"
Ryan Puglisi,QB,1,5000,0.9487,backup,1.15,1522300.0,1500000.0,"$1,500,000"
Hezekiah Millender,QB,1,5000,0.8753,depth,1.0,1986500.0,1500000.0,"$1,500,000"
Ryan Montgomery,QB,1,5000,0.9408,depth,1.0,1511500.0,1500000.0,"$1,500,000"
Colter Ginn,QB,1,5000,0.75,depth,1.0,2028400.0,1500000.0,"$1,500,000"
Ellis Robinson IV,DB,1,3000,0.9994,depth,1.0,1591800.0,1382000.0,"$1,382,000"
Sacovie White-Helton,WR,1,4500,0.78,starter,1.45,958800.0,1200000.0,"$1,200,000"
Jeremy Bell,WR,1,4500,0.78,backup,1.15,958800.0,1102600.0,"$1,102,600"
Raylen Wilson,DL,3,37100,0.9846,starter,1.45,676400.0,980800.0,"$980,800"
Nate Frazier,RB,2,52500,0.9777,starter,1.45,355200.0,979000.0,"$979,000"
Jackson St. Clair,WR,1,4500,0.78,depth,1.0,958800.0,958800.0,"$958,800"
Benjamin McElreath,WR,1,4500,0.78,depth,1.0,958800.0,958800.0,"$958,800"
Danny Curran,WR,3,16000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Colbie Young,WR,4,22000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Miles Thornton,WR,3,16000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Marek Briley,WR,2,8000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Walter Blanchard,WR,2,8000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Kavon Townsend,WR,4,22000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
Luke Bennett,WR,3,16000,0.82,depth,1.0,952300.0,952300.0,"$952,300"
KJ Bolden,DB,2,91200,0.994,depth,1.0,914300.0,914300.0,"$914,300"
Chris Cole,DL,2,6000,0.9866,backup,1.15,774000.0,890100.0,"$890,100"
Cole Jones,DL,1,3500,0.78,depth,1.0,1022500.0,800000.0,"$800,000"
Clayton Hood,DL,1,3500,0.78,depth,1.0,1022500.0,800000.0,"$800,000"
Nnamdi Ogboko,DL,1,3500,0.8756,backup,1.15,775500.0,800000.0,"$800,000"
Duncan Carpenter,DL,1,3500,0.78,depth,1.0,1022500.0,800000.0,"$800,000"
Eli Barrow,DL,2,6000,0.82,depth,1.0,1007200.0,800000.0,"$800,000"
London Seymour,DL,1,3500,0.78,depth,1.0,1022500.0,800000.0,"$800,000"
Quintavius Johnson,DL,2,6000,0.8991,starter,1.45,728900.0,800000.0,"$800,000"
AJ Kruah,DL,1,3500,0.78,depth,1.0,1022500.0,800000.0,"$800,000"
Clinton Barlow,DL,2,6000,0.82,depth,1.0,1007200.0,800000.0,"$800,000"
Joseph Jonah-Ajonye,DL,1,3500,0.9881,backup,1.15,784000.0,800000.0,"$800,000"
Terrell Foster,DL,3,10000,0.82,backup,1.15,1007200.0,800000.0,"$800,000"
CJ Allen,DL,3,10000,0.8256,depth,1.0,816200.0,800000.0,"$800,000"
Gabe Harris Jr.,DL,3,10000,0.82,depth,1.0,1007200.0,800000.0,"$800,000"
Josh Horton,DL,2,6000,0.87,depth,1.0,782600.0,782600.0,"$782,600"
Isaiah Gibson,DL,1,3500,0.9962,depth,1.0,1498200.0,776000.0,"$776,000"
JJ Hanne,DL,1,3500,0.8778,depth,1.0,775500.0,775500.0,"$775,500"
Zayden Walker,DL,1,3500,0.9871,depth,1.0,784000.0,770000.0,"$770,000"
London Humphreys,WR,3,16000,0.8876,backup,1.15,660300.0,759300.0,"$759,300"
Elijah Griffin,DL,1,11600,0.9992,starter,1.45,1810700.0,750000.0,"$750,000"
Jordan Hall,DL,3,10000,0.9824,backup,1.15,640400.0,736500.0,"$736,500"
Will Taylor,WR,2,8000,0.8489,depth,1.0,722100.0,722100.0,"$722,100"
Drew Bobo,OL,3,11900,0.8748,depth,1.0,718300.0,718300.0,"$718,300"
Talyn Taylor,WR,1,13700,0.9877,backup,1.15,616100.0,708500.0,"$708,500"
Cole Speer,WR,4,22000,0.8722,depth,1.0,703900.0,703900.0,"$703,900"
Henry Waller,DB,3,9000,0.82,depth,1.0,925700.0,700000.0,"$700,000"
Peyton Woodring,OL,3,7500,0.8333,depth,1.0,747800.0,700000.0,"$700,000"
Jaylan Morgan,DB,1,3000,0.9103,backup,1.15,614400.0,700000.0,"$700,000"
Tate Nelms,OL,1,2500,0.78,depth,1.0,986500.0,700000.0,"$700,000"
Jahzare Jackson,OL,2,4500,0.8678,depth,1.0,728900.0,700000.0,"$700,000"
Henry Bates,OL,3,7500,0.82,depth,1.0,971200.0,700000.0,"$700,000"
Dontrell Glover,OL,1,2500,0.9025,starter,1.45,659600.0,700000.0,"$700,000"
